player,batting_elo,total_runs,matches_played,bowling_elo,total_wickets,matches_2plus_overs,allrounder_elo
NLTC Perera,1718.244667569683,2047,134,1456.213610824447,127,116,1581.8126537746182
NM Coulter-Nile,1469.1868312731294,578,79,1584.7033637512584,190,143,1525.8523236203366
OF Smith,1540.7246340714314,786,72,1470.6447827752875,104,87,1505.2769329231464
OH Agbomadzie,1563.3591861782234,576,29,1505.24315018315,41,32,1534.0259796596258
P Negi,1569.6423824414576,612,52,1462.244982210772,65,64,1514.99230941625
PJ Cummins,1556.507221108099,972,83,1537.8147733893782,182,153,1547.132767252792
PM Seelaar,1550.9224409236544,592,45,1466.9257759784075,50,54,1508.3395191846753
PP Chawla,1517.758156757739,988,116,1579.9219347319336,274,226,1548.5281410035338
PWH de Silva,1497.104273330971,913,99,1738.0512055780475,215,128,1613.0852076499061
R Ashwin,1540.3708124393818,1109,123,1449.871215003319,310,296,1494.436114856415
R Bhatia,1529.4311155273674,542,57,1440.4891186997595,86,88,1484.2940678039536
R Dhawan,1550.3654364689723,624,48,1471.9649082106978,63,59,1510.656651057774
R Parag,1762.974871119737,2550,104,1446.994687359424,30,40,1597.1898047691216
R Shepherd,1623.0460963571047,1490,103,1524.9263665966878,165,127,1573.2214677332552
R Tewatia,1702.142849357055,1705,105,1412.6384525416106,47,61,1550.6490385385464
R Vinay Kumar,1535.1527933671393,573,61,1558.335791948674,177,137,1546.7008579599353
RA Jadeja,1983.8192891120782,3850,241,1242.793788059207,250,278,1570.1841577154325
RA Reifer,1580.9505635155144,898,61,1508.2844704496836,52,40,1544.190138389417
RE van der Merwe,1491.356274654227,800,76,1552.1316104363477,119,95,1521.440506991127
RL Chase,1637.907745512523,1682,82,1485.6928303413133,78,74,1559.9448048788329
RP Burl,1673.9903071654908,1333,77,1504.2402564102558,44,39,1586.8470653717393
RR Patel,1645.1774897804946,1388,56,1547.0500000000002,38,26,1595.3594690742632
RRS Cornwall,1616.4540003132347,1328,70,1471.928034402245,34,37,1542.499257498267
RS Bopara,1719.5014917599176,2140,106,1446.4262605231027,47,47,1577.064397128473
Rashid Khan,1461.4846220801724,1351,156,1723.0442635142654,366,280,1586.8845875770407
Riazat Ali Shah,1668.242671060746,1484,59,1510.6453486279804,44,37,1587.4895374208404
Rohan Mustafa,1564.4273701413335,678,43,1508.5417588843907,56,41,1536.2304568650788
S Dube,1825.2459580698878,2953,138,1468.8447974637443,44,46,1637.3768746390313
S Muniandy,1603.2837251527303,938,70,1481.4399394287636,41,37,1541.1581828862938
S Ravichandran,1592.1614725569782,818,35,1545.3306267806267,46,31,1568.571288250056
SA Abbott,1501.281565334081,650,79,1635.3504103888313,212,136,1566.8827090686389
SA Ahmad,1561.6274661815958,601,27,1533.9209761583443,34,25,1547.7122236775656
SC Williams,1688.5824776333957,1879,91,1436.5480926675666,55,64,1557.475501430481
SK Raina,2301.8632691508346,7819,294,1352.4277427543216,39,72,1764.3989756363912
SM Curran,1654.0904378740704,1608,108,1399.9447470844848,142,140,1521.7211372996303
SO Ngoche,1530.2425231422103,509,45,1573.9004116681695,102,72,1551.917954379568
SP Narine,1653.1488868467384,3164,239,1657.3046319372643,438,376,1655.225455173111
SR Patel,1581.0672700167945,757,51,1437.4745029239762,48,55,1507.562233560114
SR Watson,2285.062218339476,8246,306,1494.8579128223514,228,202,1848.2000266140465
ST Jayasuriya,1613.4200636195876,1383,58,1479.3084795321638,30,30,1544.9097000018412
STR Binny,1630.0446132991842,1303,91,1463.233116766275,50,50,1544.3883125645061
Sarfaraz Ali,1575.87176781932,771,42,1496.9812535612534,38,33,1535.920080747027
Shadab Khan,1691.3377595799693,2369,146,1595.5361587357465,283,220,1642.7387351751793
Shahbaz Ahmed,1585.1519722909934,839,56,1457.4742690058483,52,57,1519.9730958401844
Shaheen Shah Afridi,1466.715811657799,628,72,1652.1192146600404,262,175,1556.6596849939767
Shahid Afridi,1751.8909615657558,2366,158,1476.4127440395866,188,172,1608.264325856744
Shakib Al Hasan,1905.7023626338769,4359,240,1560.3422960224786,305,251,1724.3978659368624
Shoaib Malik,2291.2458756985375,6816,281,1365.3593738620054,59,87,1768.7210164996789
