player,matches_2plus_overs,total_wickets,total_balls,total_runs,bowling_avg,economy,wickets_per_match,milestone_100_wickets,bowling_elo
LK Sharma,1,1,18,29,29.0,9.666666666666666,1.0,False,1499.2777777777778
LKW Ezechiel,2,1,52,101,101.0,11.653846153846155,0.5,False,1493.2692307692307
LL Tsotsobe,25,22,550,645,29.318181818181817,7.036363636363636,0.88,False,1480.4767746288799
LM Edward,1,0,12,17,,8.5,0.0,False,1495.0
LM Gabriel,3,1,57,68,68.0,7.157894736842105,0.3333333333333333,False,1490.7142857142858
LM Jongwe,47,63,959,1300,20.634920634920636,8.13347236704901,1.3404255319148937,False,1528.4530665825403
LM Yadav,4,4,86,113,28.25,7.883720930232558,1.0,False,1499.3769945225054
LMP Simmons,5,6,78,122,20.333333333333332,9.384615384615385,1.2,False,1492.5555555555554
LN O'Connor,23,16,460,590,36.875,7.695652173913043,0.6956521739130435,False,1460.8888888888891
LN Oluoch,47,58,940,1021,17.603448275862068,6.517021276595745,1.2340425531914894,False,1510.9305133119374
LN Onyango,3,2,54,101,50.5,11.222222222222221,0.6666666666666666,False,1491.8055555555557
LN Rajbanshi,30,33,647,710,21.515151515151516,6.584234930448223,1.1,False,1508.8727598566309
LP Kasturiarachchige,3,3,60,81,27.0,8.1,1.0,False,1498.9166666666667
LPC Silva,1,0,12,12,,6.0,0.0,False,1495.5
LR Butterworth,3,4,68,85,21.25,7.5,1.3333333333333333,False,1504.3333333333333
LR Gaonkar,2,1,36,44,44.0,7.333333333333333,0.5,False,1495.6666666666667
LR Morris,30,42,665,881,20.976190476190474,7.948872180451128,1.4,False,1521.4269590643273
LR Shukla,14,11,247,340,30.90909090909091,8.259109311740891,0.7857142857142857,False,1478.5822710622713
LS Baker,3,2,50,58,29.0,6.959999999999999,0.6666666666666666,False,1495.7051282051282
LS Barkania,4,7,64,33,4.714285714285714,3.09375,1.75,False,1507.5
LS Livingstone,72,65,1255,1649,25.369230769230768,7.883665338645419,0.9027777777777778,False,1432.4273414304998
LT Bichard,20,34,497,479,14.088235294117647,5.782696177062374,1.7,False,1539.6550387596901
LV van Beek,46,57,922,1152,20.210526315789473,7.496746203904555,1.2391304347826086,False,1494.9780541096327
LW Feldman,11,14,256,305,21.785714285714285,7.1484375,1.2727272727272727,False,1514.1518045112782
LW Potthoff,2,4,34,33,8.25,5.823529411764706,2.0,False,1505.1923076923076
Lagnajit Samal,2,0,25,46,,11.04,0.0,False,1490.0384615384614
Lakhan Singh,5,4,94,129,32.25,8.23404255319149,0.8,False,1493.537037037037
Lakshay Garg,31,33,687,913,27.666666666666668,7.973799126637554,1.064516129032258,False,1477.0475502859717
Lakshit Gupta,4,3,75,121,40.333333333333336,9.68,0.75,False,1492.7722222222221
Lalhmangaiha,4,3,73,106,35.333333333333336,8.712328767123289,0.75,False,1495.0
Lalhruai Ralte,21,13,390,607,46.69230769230769,9.338461538461539,0.6190476190476191,False,1452.4729824561405
Lalhruaizela,4,6,62,74,12.333333333333334,7.161290322580645,1.5,False,1504.8333333333333
Lalit Yadav,46,39,921,1095,28.076923076923077,7.133550488599348,0.8478260869565217,False,1460.718164642375
Lalith Mohan,6,4,139,178,44.5,7.683453237410071,0.6666666666666666,False,1490.5
Lalnunkima Varte,11,6,207,304,50.666666666666664,8.81159420289855,0.5454545454545454,False,1473.6701098901096
Lalrempuia,2,0,29,49,,10.13793103448276,0.0,False,1490.0
Lamabam Singh,13,12,248,330,27.5,7.983870967741935,0.9230769230769231,False,1493.769455690508
Langlonyamba Meitan Keishangbam,1,1,12,14,14.0,7.0,1.0,False,1500.1666666666667
Lee Kangmin,2,0,25,41,,9.84,0.0,False,1490.0
Lee Yong Lepcha,5,1,73,103,103.0,8.465753424657535,0.2,False,1480.0
Lemar Momand,5,1,84,79,79.0,5.642857142857143,0.2,False,1482.6665934065934
Licha Tehi,8,2,178,230,115.0,7.752808988764045,0.25,False,1473.45
Lone Nasir Muzaffar,2,2,31,35,17.5,6.774193548387096,1.0,False,1500.2719298245615
Lucas Rossi,8,12,178,145,12.083333333333334,4.887640449438202,1.5,False,1508.5455555555554
Lucky Ali,12,16,239,192,12.0,4.820083682008368,1.3333333333333333,False,1513.4304993252363
Luis Hermida,9,12,177,180,15.0,6.101694915254237,1.3333333333333333,False,1504.5770927318297
Luka Woods,4,3,102,104,34.666666666666664,6.117647058823529,0.75,False,1496.1666666666667
Luo Shilin,5,2,111,129,64.5,6.972972972972973,0.4,False,1486.725811965812
Luqman Butt,20,18,416,501,27.833333333333332,7.225961538461539,0.9,False,1491.8031533963115
M Abdulla,4,3,96,89,29.666666666666668,5.5625,0.75,False,1496.9292307692308
M Abin Mathew,1,1,24,42,42.0,10.5,1.0,False,1499.0
M Aboagye,8,9,176,182,20.22222222222222,6.204545454545455,1.125,False,1497.9566666666667
M Akayezu,55,80,1177,1455,18.1875,7.417162276975361,1.4545454545454546,False,1516.0208311666513
M Altankhuyag,1,1,17,55,55.0,19.41176470588235,1.0,False,1496.0294117647059
M Ansari,8,10,196,296,29.6,9.061224489795919,1.25,False,1500.854700854701
M Ashwin,77,80,1678,2020,25.25,7.222884386174016,1.0389610389610389,False,1484.793413662361
M Badenhorst,3,5,58,87,17.4,9.0,1.6666666666666667,False,1497.7631578947369
M Bean,2,2,52,79,39.5,9.115384615384617,1.0,False,1498.923076923077
M Beardman,2,3,30,36,12.0,7.2,1.5,False,1500.0
M Boast,1,0,13,36,,16.615384615384617,0.0,False,1495.0
M Brasier,2,1,35,56,56.0,9.6,0.5,False,1494.2619047619048
M Breban,1,3,25,24,8.0,5.76,3.0,False,1505.0
M Campopiano,3,2,43,43,21.5,6.0,0.6666666666666666,False,1496.542735042735
M Chadha,5,8,97,150,18.75,9.278350515463917,1.6,False,1511.5611111111111
M Charlie,2,3,31,28,9.333333333333334,5.419354838709677,1.5,False,1505.5
M Choamba,5,7,76,57,8.142857142857142,4.5,1.4,False,1507.8846153846155
M Clarke,1,0,19,43,,13.578947368421053,0.0,False,1495.0
M Cope,8,13,181,268,20.615384615384617,8.883977900552486,1.625,False,1521.805936943809
M Dale-Bradley,9,20,245,237,11.85,5.804081632653061,2.2222222222222223,False,1524.9692307692308
M Deyal,9,6,143,190,31.666666666666668,7.9720279720279725,0.6666666666666666,False,1484.8846153846152
M Dixit,16,17,343,403,23.705882352941178,7.049562682215743,1.0625,False,1493.7527318295738
M Faheem,6,9,124,133,14.777777777777779,6.435483870967742,1.5,False,1510.4566223250433
M Faraz Akram,5,2,107,160,80.0,8.971962616822431,0.4,False,1484.4255172413793
M Fontaine,3,3,47,44,14.666666666666666,5.617021276595745,1.0,False,1501.4285714285713
M Fru,4,5,87,138,27.6,9.517241379310345,1.25,False,1499.2517482517483
M Gogev,6,5,135,175,35.0,7.777777777777778,0.8333333333333334,False,1490.305925925926
M Gouws,8,7,160,227,32.42857142857143,8.5125,0.875,False,1490.5735897435895
M Govia,3,2,56,84,42.0,9.0,0.6666666666666666,False,1495.0263157894738
M Grzinic,2,4,36,18,4.5,3.0,2.0,False,1510.0
M Jansen,91,107,2105,2805,26.214953271028037,7.995249406175772,1.1758241758241759,True,1498.201952095355
M Jele,11,14,210,238,17.0,6.8,1.2727272727272727,False,1509.8598178137652
M Jenkinson,2,2,37,51,25.5,8.27027027027027,1.0,False,1500.0
M Jobarteh,7,7,170,237,33.857142857142854,8.364705882352942,1.0,False,1491.6077922077925
M Kadyan,7,7,174,222,31.714285714285715,7.655172413793103,1.0,False,1490.578947368421
M Kartik,54,38,1194,1430,37.63157894736842,7.185929648241206,0.7037037037037037,False,1416.4459784075575
